Name,Profile URL,Role,Sweet Spot,Investors
Firat Ileri,file:///investors/firat-ileri,Managing Partner,$3.0M,"Investors in Mexico (Mexico), Investors in Sao Paulo, Investors in Athens (Greece), Investors in Dubai, Investors in San Francisco (CA), Investors in New York (NY), Investors in Brussels, Investors in Amsterdam, Investors in Istanbul, Investors in Berlin, Investors in London
+7"
Saul Klein,file:///investors/saul-klein,Managing Partner,$1M,"Investors in Madrid (Spain), Investors in Barcelona (Spain), Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in Amsterdam, Investors in Paris (France), Investors in Berlin, Investors in New York (NY), Investors in London, Investors in Tel Aviv (Israel)
+7"
Jose Vieitez,file:///investors/jose-vieitez,Managing Partner,$20K,Investors in Boulder (CO)
Sid Krommenhoek,file:///investors/sid-krommenhoek,General Partner,$750K,"Investors in Los Angeles (CA), Investors in Utah, Investors in Salt Lake City (UT), Investors in Provo (UT), Investors in San Francisco (CA), Investors in New York (NY), Investors in Phoenix (AZ)
+4"
Geraldine Le Meur,file:///investors/geraldine-lemeur,Sweet spot:,$200K,"Investors in Geneva, Investors in Montreal, Investors in Brussels, Investors in Paris (France), Investors in New York (NY), Investors in San Francisco (CA)
+2"
Christoph Janz,file:///investors/christoph-janz,Managing Partner,$1.5M,"Investors in London, Investors in Paris (France), Investors in Berlin, Investors in San Francisco (CA)"
Adam Cragg,file:///investors/adam-cragg,Managing Partner,$150K,"Investors in Calgary, Investors in Austin (TX), Investors in Los Angeles (CA), Investors in New York (NY)
+1"
James Smits,file:///investors/james-smits,Investor,$100K,"Investors in New York (NY), Investors in SF Bay Area (CA), Investors in San Francisco (CA), Investors in Chicago (IL), Investors in Los Angeles (CA), Investors in Pittsburgh (PA), Investors in Boston (MA), Investors in Washington (DC), Investors in Dallas (TX), Investors in Cincinnati (OH), Investors in Columbus (OH), Investors in Madison (WI)
+9"
Gyan Kapur,file:///investors/gyan-kapur,Managing Partner,$600K,"Investors in Boston (MA), Investors in San Francisco (CA), Investors in New York (NY), Investors in Connecticut, Investors in Massachusetts, Investors in New Jersey, Investors in New York, Investors in California
+5"
David Jee,file:///investors/david-jee,Analyst,$250K,"Investors in SF Bay Area (CA), Investors in Los Angeles / Southern California, Investors in New York, Investors in Berlin
+2"
Kelly Perdew,file:///investors/kelly-perdew,Managing Partner,$1M,"Investors in New York (NY), Investors in San Francisco (CA), Investors in Washington (DC), Investors in Austin (TX), Investors in Los Angeles (CA)
+2"
Alex Gurevich,file:///investors/alex-gurevich,Managing Director,$3.5M,"Investors in AI, Investors in AI, Investors in AR/VR, Investors in AR/VR, Investors in E-commerce, Investors in E-commerce, Investors in Education, Investors in Education, Investors in Fintech, Investors in Fintech, Investors in Gaming/eSports, Investors in Gaming/eSports, Investors in IoT, Investors in IoT, Investors in Marketplaces, Investors in Marketplaces, Investors in Media/content, Investors in Media/content, Investors in SaaS, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+16"
Semil Shah,file:///investors/semil-shah,General Partner,$2.0M,Investors in Palo Alto (CA)
Kurt Ramirez,file:///investors/kurt-ramirez,General Partner,$3.0M,"Investors in AI, Investors in AI, Investors in Analytics, Investors in Analytics, Investors in AR/VR, Investors in AR/VR, Investors in Blockchain, Investors in Blockchain, Investors in Fintech, Investors in Fintech, Investors in Insurance, Investors in Insurance, Investors in IoT, Investors in IoT, Investors in Midwest (Other Lists), Investors in Real estate/proptech, Investors in Real estate/proptech, Investors in SaaS, Investors in SaaS, Investors in SMB software, Investors in SMB software
+16"
Manan Mehta,file:///investors/manan-mehta,General Partner,$300K,"Investors in Denver (CO), Investors in Canada, Investors in Washington (DC), Investors in Los Angeles / Southern California, Investors in SF Bay Area (CA), Investors in New York (NY), Investors in United States, Investors in San Francisco (CA)
+5"
Boris Wertz,file:///investors/boris-wertz,General Partner,$500K,Investors in United States
David Waxman,file:///investors/david-waxman,Managing Partner,$500K,"Investors in Los Angeles (CA), Investors in San Francisco (CA)"
Uri Zilberman,file:///investors/uri-zilberman,General Partner,$50K,"Investors in New Jersey, Investors in New York (NY), Investors in Israel"
Pierre-Eric Leibovici,file:///investors/pierre-eric-leibovici,General Partner,$3.0M,Investors in Europe
Nitin Pachisia,file:///investors/nitin-pachisia,Managing Partner,$250K,"Investors in AI, Investors in Cars / autonomous vehicles, Investors in Cloud infrastructure, Investors in Enterprise, Investors in IoT, Investors in Logistics, Investors in Marketplaces, Investors in Robotics, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Space
+8"
Zach Malone,file:///investors/zach-malone,Principal,$2.0M,"Investors in Cincinnati (OH), Investors in Columbus (OH), Investors in Cleveland (OH), Investors in Ann Arbor (MI), Investors in Detroit (MI), Investors in Pittsburgh (PA)
+3"
Ed Roman,file:///investors/ed-roman,Managing Director,$250K,"Investors in Boston (MA), Investors in New York (NY), Investors in Los Angeles (CA), Investors in San Francisco (CA)
+1"
Steven Rosenblatt,file:///investors/steven-rosenblatt,General Partner,$125K,"Investors in Atlanta (GA), Investors in Boston (MA), Investors in California, Investors in New York (NY)"
Patrick Lor,file:///investors/patrick-lor,Managing Partner,$150K,Investors in Canada
Mark Sugarman,file:///investors/mark-sugarman,General Partner,$50K,Investors in San Francisco (CA)
Keith Teare,file:///investors/keith-teare,Managing Partner,$50K,"Investors in Berlin, Investors in Palo Alto (CA), Investors in London"
Rokas Peciulaitis,file:///investors/rokas-peciulaitis,Managing Partner,$350K,"Investors in Israel, Investors in Europe"
Pocket Sun,file:///investors/pocket-sun,General Partner,$150K,"Investors in London, Investors in Seattle (WA), Investors in Baltimore (MD), Investors in Washington (DC), Investors in Austin (TX), Investors in San Francisco (CA), Investors in Sydney, Investors in China, Investors in Singapore, Investors in Los Angeles (CA), Investors in Boston (MA), Investors in New York (NY)
+9"
Lolita Taub,file:///investors/lolita-taub,General Partner,$50K,Investors in United States
Jeffrey Silverman,file:///investors/jeffrey-silverman,Managing Director,$750K,"Investors in Washington (DC), Investors in Boston (MA), Investors in New York (NY)"
Avi Eyal,file:///investors/avi-eyal,General Partner,$1M,"Investors in London, Investors in Palo Alto (CA), Investors in New York (NY), Investors in San Francisco (CA), Investors in Israel
+2"
Roy Bahat,file:///investors/roy-bahat,Managing Partner,$1.2M,Investors in San Francisco (CA)
Luis Valdich,file:///investors/luis-valdich,Managing Director,$4.0M,"Investors in AI, Investors in AI, Investors in Analytics, Investors in Analytics, Investors in Data services, Investors in Data services, Investors in Fintech, Investors in Fintech, Investors in Insurance, Investors in Insurance, Investors in Logistics, Investors in Logistics, Investors in New York City (Other Lists), Investors in Payments, Investors in Payments, Investors in Real estate/proptech, Investors in Real estate/proptech, Investors in SaaS, Investors in SaaS, Investors in SMB software, Investors in SMB software
+16"
Paul Bricault,file:///investors/paul-bricault,Managing Partner,$500,Investors in Los Angeles (CA)
Ariel Arrieta,file:///investors/ariel-arrieta,Managing Partner,$1M,"Investors in SF Bay Area (CA), Investors in Colombia, Investors in Mexico (Mexico), Investors in Brazil, Investors in Argentina
+2"
Mark Goldstein,file:///investors/mark-goldstein,Managing Partner,$250K,Investors in San Francisco (CA)
Rouven Dresselhaus,file:///investors/rouven-dresselhaus,General Partner,$500K,"Investors in Advertising, Investors in AI, Investors in Blockchain, Investors in Fashion, Investors in Fintech, Investors in Logistics, Investors in Marketplaces, Investors in Real estate/proptech, Investors in SaaS, Investors in Sales and CRM
+6"
Erik Rannala,file:///investors/erik-rannala,Managing Partner,$750K,"Investors in Canada, Investors in United States"
Jacob Colker,file:///investors/jacob-colker,Managing Director,$500K,Investors in Seattle / Portland
David Ventzel,file:///investors/david-ventzel,General Partner,$200K,"Investors in Blockchain, Investors in Consumer health & fitness, Investors in Education, Investors in Enterprise, Investors in Entertainment & sports, Investors in Fintech, Investors in Impact, Investors in IoT, Investors in Media/content, Investors in SaaS, Investors in SMB software
+8"
Brett Jackson,file:///investors/brett-jackson,Managing Partner,$100K,Investors in Boulder (CO)
Andrew Van Nest,file:///investors/andrew-van-nest,Associate,$500K,Investors in San Francisco (CA)
Brianne Kimmel,file:///investors/brianne-kimmel,Managing Partner,$100K,"Investors in Los Angeles (CA), Investors in New York (NY), Investors in San Francisco (CA)"
Nik Shah,file:///investors/nikhaar-shah,Managing Partner,$50K,"Investors in Europe, Investors in India, Investors in United States"
Brad Zapp,file:///investors/brad-zapp,Managing Partner,$250K,"Investors in Wisconsin, Investors in Missouri, Investors in North Carolina, Investors in Georgia, Investors in Pennsylvania, Investors in Minnesota, Investors in Indiana, Investors in Illinois, Investors in Ohio
+5"
Tom Hulme,file:///investors/tom-hulme,General Partner,$500K,"Investors in AI, Investors in E-commerce, Investors in Enterprise, Investors in Fintech, Investors in Hardware, Investors in London (Other Lists), Investors in Marketplaces, Investors in Messaging, Investors in SaaS, Investors in Social commerce, Investors in Social mobile
+7"
Marnix Groet,file:///investors/marnix-groet_1,Managing Director,$50K,Investors in Milan
Didi Setiahadi,file:///investors/didi-setiahadi,Managing Partner,$1M,Investors in Global
Henri Kuehnert,file:///investors/henri-kuehnert,General Partner,$300K,"Investors in Germany, Investors in Berlin"
Steven Lurie,file:///investors/steven-lurie,Managing Partner,$250K,"Investors in Seattle (WA), Investors in Boston (MA), Investors in San Francisco (CA)"
Yanai Oron,file:///investors/yanai-oron,General Partner,$3.0M,Investors in Tel Aviv (Israel)
Phil Nadel,file:///investors/phil-nadel_1,Managing Director,$400K,"Investors in Israel, Investors in Canada, Investors in United States"
Nenad Marovac,file:///investors/nenad-marovac,Managing Partner,$250K,"Investors in Palo Alto (CA), Investors in London"
Moshe Sarfaty,file:///investors/moshe-sarfaty,Managing Partner,$1.5M,"Investors in Analytics, Investors in E-commerce, Investors in Fintech, Investors in Gaming/eSports, Investors in IoT, Investors in Israel (Other Lists), Investors in Media/content, Investors in Payments, Investors in SaaS, Investors in SMB software, Investors in Social mobile
+7"
Pascal Unger,file:///investors/pascal-unger,Managing Partner,$400K,"Investors in AI, Investors in Blockchain, Investors in Enterprise, Investors in Fintech, Investors in Health IT, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)
+5"
Ivan Savelyev,file:///investors/ivan-savelyev,Managing Partner,$700K,Investors in Moscow
Cindy Padnos,file:///investors/cindy-padnos,Managing Partner,$750K,Investors in Oakland (CA)
Michael Cardamone,file:///investors/michael-cardamone,Managing Partner,$100K,"Investors in Toronto (Ontario), Investors in New York (NY), Investors in San Francisco (CA)"
Jenny Fielding,file:///investors/jenny-fielding,General Partner,$150K,Investors in New York (NY)
Tom Lopez,file:///investors/tom-lopez,Managing Partner,$500K,"Investors in Austin (TX), Investors in New York (NY), Investors in Portland (OR), Investors in Denver (CO), Investors in Albuquerque (NM), Investors in Santa Fe (NM)
+2"
Lisa Calhoun,file:///investors/lisa-calhoun,General Partner,$1M,"Investors in Tampa (FL), Investors in Charleston (SC), Investors in Nashville (TN), Investors in Charlotte (NC), Investors in Austin (TX), Investors in Dallas (TX), Investors in Baton Rouge (LA), Investors in New Orleans (LA), Investors in Memphis (TN), Investors in Birmingham (AL), Investors in Atlanta (GA)
+8"
Randall Crowder,file:///investors/randall-crowder,Managing Partner,$3.0M,Investors in Austin (TX)
Ed Walters,file:///investors/ed-walters_2,General Partner,$750K,"Investors in Atlanta (GA), Investors in Los Angeles / Southern California, Investors in Boston (MA), Investors in New York (NY)
+1"
Peter Marculans,file:///investors/peter-marculans,Managing Partner,$40K,Investors in Europe
Eliot Durbin,file:///investors/eliot-durbin,Managing Partner,$1.5M,"Investors in New York (NY), Investors in San Francisco (CA)"
Alon Hillel-Tuch,file:///investors/alon-hillel-tuch,Managing Partner,$200K,"Investors in Global, Investors in United States"
Cornel Chiriac,file:///investors/cornel-chiriac,Managing Partner,$250K,Investors in Europe
Roy Oron,file:///investors/roy-oron,Managing Partner,$3.0M,"Investors in Global, Investors in Israel"
Nick Moran,file:///investors/nick-moran,General Partner,$250K,Investors in Chicago (IL)
Shan Reddy,file:///investors/shan-reddy,Scout,$35K,"Investors in AI, Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Developer tools, Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in Health IT, Investors in IoT, Investors in Marketplaces, Investors in Network infrastructure, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who were founders (Other Lists)
+12"
Neal Strickberger,file:///investors/neal-strickberger,Sweet spot:,$25K,"Investors in Cloud infrastructure, Investors in Data services, Investors in Developer tools, Investors in E-commerce, Investors in Enterprise, Investors in IoT, Investors in Logistics, Investors in Network infrastructure, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Security
+8"
Sigalit Perelson,file:///investors/sigalit-perelson,Scout,$10K,Investors in SF Bay Area (CA)
Richard Dulude,file:///investors/richard-dulude,Managing Partner,$4.0M,"Investors in Toronto (Ontario), Investors in Montreal, Investors in New York (NY), Investors in Boston (MA)"
Zeb Rice,file:///investors/zeb-rice,Managing Partner,$2.0M,"Investors in Sydney, Investors in Los Angeles (CA), Investors in San Francisco (CA)"
Cristian Olea,file:///investors/cristian-olea,Managing Partner,$600K,"Investors in Colombia, Investors in Mexico (Mexico), Investors in Argentina, Investors in Santiago"
Nathan Lustig,file:///investors/nathan-lustig_1,Managing Partner,$100K,"Investors in Brazil, Investors in Colombia, Investors in Mexico (Mexico)"
Blake Patton,file:///investors/blake-patton,Managing Partner,$1.5M,Investors in Atlanta (GA)
David Arcara,file:///investors/david-arcara,Managing Director,$750K,"Investors in Washington (DC), Investors in Boston (MA), Investors in New York (NY)"
Gianluca Dettori,file:///investors/gianluca-dettori,General Partner,$350K,"Investors in United States, Investors in Europe"
Marcel van der Heijden,file:///investors/marcel-van-der-heijden,General Partner,$500K,Investors in Europe
Andrew J Scott,file:///investors/andrew-j-scott,General Partner,$250K,"Investors in United States, Investors in Europe, Investors in London"
Ben Trumbull,file:///investors/ben-trumbull,General Partner,$500K,"Investors in Chicago (IL), Investors in Toledo (OH), Investors in Lexington-Fayette (KY), Investors in Columbus (OH), Investors in Cleveland (OH), Investors in Kansas City (KS), Investors in Kalamazoo (MI), Investors in Grand Rapids (MI), Investors in Ann Arbor (MI), Investors in Cincinnati (OH), Investors in Indianapolis (IN), Investors in Louisville/Jefferson County (KY), Investors in Pittsburgh (PA)
+10"
Alex Kahn,file:///investors/alex-kahn,Managing Partner,$100K,"Investors in San Francisco (CA), Investors in Menlo Park (CA), Investors in Scottsdale (AZ), Investors in Palo Alto (CA)
+1"
Eduardo Ronzano,file:///investors/eduardo-ronzano,Managing Partner,$250K,"Investors in Europe, Investors in Amsterdam, Investors in Munich (Germany), Investors in Berlin, Investors in London, Investors in Paris (France)
+2"
Riley Florsheim,file:///investors/riley-florsheim,General Partner,$350K,"Investors in San Francisco (CA), Investors in Warsaw, Investors in London, Investors in Dubai, Investors in Canada, Investors in United States, Investors in Ohio, Investors in Colorado, Investors in Toronto (Ontario), Investors in Chicago (IL)
+6"
Chad Byers,file:///investors/chad-byers,Managing Partner,$750K,"Investors in New York (NY), Investors in Los Angeles (CA), Investors in San Francisco (CA)"
Henri Pierre-Jacques,file:///investors/henri-pierre-jacques,Managing Partner,$1M,Investors in New York (NY)
Romain Lavault,file:///investors/romain-lavault,General Partner,$200K,Investors in Paris (France)
Seth Berman,file:///investors/seth-berman,General Partner,$1M,Investors in San Francisco (CA)
Ryan Moore,file:///investors/ryan-moore,General Partner,$2.0M,Investors in Toronto (Ontario)
Jay Farber,file:///investors/jay-farber,Venture Partner,$250K,"Investors in Colorado, Investors in Utah, Investors in Washington, Investors in Oregon, Investors in California
+1"
Clint Chao,file:///investors/clint-chao,General Partner,$1M,Investors in Palo Alto (CA)
Ben Sun,file:///investors/ben-sun,General Partner,$1.5M,Investors in New York (NY)
Pablo Fernandez,file:///investors/pablo,Managing Director,$300K,"Investors in Mexico (Mexico), Investors in Colombia, Investors in Buenos Aires, Investors in United States, Investors in Santiago
+2"
Dr. Michael Brandkamp,file:///investors/dr-michael-brandkamp,Managing Director,$500K,Investors in Germany
Gopi Rangan,file:///investors/gopi-rangan,General Partner,$100K,"Investors in United States, Investors in SF Bay Area (CA)"
Alexey Alexanov,file:///investors/alexey-alexanov,General Partner,$1M,"Investors in Austin (TX), Investors in SF Bay Area (CA), Investors in Chicago (IL), Investors in New York (NY), Investors in Boston (MA), Investors in California
+3"
JJ Kasper,file:///investors/jj-kasper,Managing Partner,$250K,Investors in United States
Brad Svrluga,file:///investors/brad-svrluga,General Partner,$1.5M,Investors in New York
Nico Lumma,file:///investors/nico-lumma,Managing Partner,$50K,"Investors in Israel, Investors in Europe"
Fredrik Cassel,file:///investors/fredrik-cassel,General Partner,$200K,"Investors in Consumer products, Investors in Hardware, Investors in SaaS"
Catherine Lu,file:///investors/catherine-lu_1,Managing Partner,$150K,"Investors in Global, Investors in SF Bay Area (CA)"
Keith Petri,file:///investors/keith-petri,General Partner,$60K,Investors in New York (NY)
Dr. Alex von Frankenberg,file:///investors/dr-alex-von-frankenberg,Managing Director,$500K,Investors in Germany
T.M. Ravi,file:///investors/t-m-ravi,Managing Director,$1.8M,Investors in Palo Alto (CA)
Chris Graham,file:///investors/chris-graham,Managing Director,$250K,Investors in California
Cindy Bi,file:///investors/cindy-bi,Managing Partner,$50K,"Investors in SF Bay Area (CA), Investors in Palo Alto (CA)"
Cem Sertoglu,file:///investors/cem-sertoglu,Managing Partner,$2.0M,"Investors in Prague, Investors in Warsaw, Investors in Istanbul"
Angela Jackson,file:///investors/angela-jackson,Managing Partner,$25K,Investors in Portland (OR)
Alexander Rosen,file:///investors/alexander-rosen,Managing Director,$4.0M,Investors in San Francisco (CA)
Angel Garcia,file:///investors/angel-garcia,General Partner,$250K,"Investors in Barcelona (Spain), Investors in Berlin, Investors in Delaware, Investors in London"
Deb Kemper,file:///investors/deb-kemper,General Partner,$250K,"Investors in AgTech, Investors in AI, Investors in Analytics, Investors in Boston / New England (Other Lists), Investors in Clean tech / environment, Investors in Enterprise, Investors in Hardware, Investors in Health IT, Investors in IoT, Investors in Marketplaces, Investors in SaaS
+8"
Chip Hazard,file:///investors/chip-hazard,Investor,$750K,Investors in Boston (MA)
Blair Garrou,file:///investors/blair-garrou,Managing Director,$1M,"Investors in Austin (TX), Investors in Houston (TX), Investors in Dallas (TX), Investors in Denver (CO), Investors in Boulder (CO), Investors in Madison (WI), Investors in Chicago (IL), Investors in Cincinnati (OH), Investors in Columbus (OH), Investors in Cleveland (OH), Investors in St. Louis (MO), Investors in Kansas City (KS), Investors in Omaha (NE), Investors in Ann Arbor (MI), Investors in Detroit (MI), Investors in Phoenix (AZ), Investors in Salt Lake City (UT), Investors in Indianapolis (IN)
+14"
Chaim Meir Tessler,file:///investors/chaim-meir-tessler_1,General Partner,$3.0M,"Investors in United States, Investors in Israel"
Sunil Dhaliwal,file:///investors/sunil-dhaliwal,Partner,$1.5M,"Investors in SF Bay Area (CA), Investors in Boston / New England, Investors in New York (NY), Investors in Los Angeles / Southern California, Investors in Seattle / Portland, Investors in Austin (TX), Investors in Israel, Investors in London
+5"
Dave Garland,file:///investors/dave-garland,Managing Partner,$2.0M,"Investors in Provo (UT), Investors in Washington (D.C.), Investors in Chicago (IL), Investors in Menlo Park (CA)
+1"
Pietro Dova,file:///investors/pietro-dova,Managing Partner,$200K,Investors in SF Bay Area (CA)
Andreas Klinger,file:///investors/andreas-klinger,Managing Partner,$50K,"Investors in Distributed workforce, Investors in Enterprise, Investors in Human capital, Investors in SaaS
+1"
Kelby Price,file:///investors/kelby-price-google-drive,Managing Director,$250K,"Investors in Evansville (IN), Investors in Bloomington (IN), Investors in Knoxville (TN), Investors in Nashville-Davidson (TN), Investors in Columbus (OH), Investors in Dayton (OH), Investors in Indianapolis (IN), Investors in Cincinnati (OH), Investors in Owensboro (KY), Investors in Bowling Green (KY), Investors in Louisville/Jefferson County (KY), Investors in Covington (KY), Investors in Lexington-Fayette (KY), Investors in Kentucky
+11"
Nico Berardi,file:///investors/nico-berardi,General Partner,$1M,"Investors in New York (NY), Investors in San Francisco (CA), Investors in Miami (FL)"
Abdul Ly,file:///investors/abdul-ly_1,Investor,$2.5M,Investors in SF Bay Area (CA)
Mark Fiorentino,file:///investors/mark-fiorentino,Investor,$2.5M,Investors in SF Bay Area (CA)
Jeff Maters,file:///investors/jeff-maters,Managing Director,$200K,"Investors in Nebraska, Investors in Ohio, Investors in Indiana, Investors in Michigan, Investors in Missouri, Investors in Wisconsin, Investors in Minnesota, Investors in Iowa, Investors in Illinois, Investors in Chicago (IL)
+6"
Ryan Kuder,file:///investors/ryan-kuder_1,Managing Director,$120K,"Investors in AI, Investors in Consumer products, Investors in Enterprise, Investors in Hardware, Investors in Marketplaces, Investors in Robotics, Investors in SaaS, Investors in SMB software, Investors in Space
+5"
Borys Musielak,file:///investors/borys-musielak,Managing Partner,$250K,Investors in Europe
Ed Walters,file:///investors/ed-walters,General Partner,$750K,"Investors in San Francisco (CA), Investors in Atlanta (GA), Investors in Toronto (Ontario), Investors in Los Angeles / Southern California, Investors in Los Angeles (CA), Investors in Boston (MA), Investors in New York City
+4"
Alejandro Ponce,file:///investors/alejandro-ponce,Managing Partner,$500K,"Investors in Europe, Investors in Israel, Investors in United States"
Kevin Lee,file:///investors/kevin-lee,Sweet spot:,$25K,Investors in Global
Dave McClure,file:///investors/dave-mcclure,Sweet spot:,$25K,"Investors in Los Angeles (CA), Investors in New York (NY), Investors in Dubai, Investors in Hong Kong, Investors in Singapore, Investors in London, Investors in Tokyo, Investors in San Francisco (CA)
+4"
Carl Fritjofsson,file:///investors/carl-fritjofsson,Partner,$3.0M,"Investors in Seattle (WA), Investors in Boulder (CO), Investors in Austin (TX), Investors in Los Angeles (CA), Investors in Europe, Investors in New York (NY), Investors in SF Bay Area (CA)
+4"
Sergey Gribov,file:///investors/sergey-gribov,Partner,$2.0M,"Investors in New York (NY), Investors in Israel, Investors in Boston (MA)"
Peter Livingston,file:///investors/peter-livingston,General Partner,$100K,Investors in SF Bay Area (CA)
Pat Matthews,file:///investors/pat-matthews,Managing Partner,$1M,Investors in United States
robert giles,file:///investors/robert-giles,Managing Director,$750K,"Investors in Boulder (CO), Investors in Boston (MA), Investors in SF Bay Area (CA), Investors in Israel, Investors in United States, Investors in Canada, Investors in Europe, Investors in Mexico (Mexico), Investors in New York (NY), Investors in Austin (TX), Investors in San Diego (CA)
+7"
Gautam Gupta,file:///investors/gautam-gupta,Partner,$1M,"Investors in Portland (OR), Investors in Miami (FL), Investors in New York (NY), Investors in Boston (MA), Investors in Austin (TX), Investors in SF Bay Area (CA), Investors in Los Angeles / Southern California, Investors in San Francisco (CA)
+5"
Adam Besvinick,file:///investors/adam-besvinick_1,Managing Partner,$350K,"Investors in Seattle (WA), Investors in Chicago (IL), Investors in Toronto (Ontario), Investors in Boston (MA), Investors in Los Angeles (CA), Investors in New York (NY), Investors in SF Bay Area (CA)
+4"
Larry Chu,file:///investors/lawrence-chu,Managing Partner,$50K,"Investors in New York (NY), Investors in Canada, Investors in Israel, Investors in Europe, Investors in London, Investors in San Francisco (CA)
+2"
Eric Ver Ploeg,file:///investors/eric-ver-ploeg,Managing Director,$100K,"Investors in California, Investors in Menlo Park (CA)"
Warren Weiss,file:///investors/warren-weiss,Managing Partner,$1M,Investors in SF Bay Area (CA)
John Dougery,file:///investors/john-dougery,Managing Partner,$1M,Investors in San Mateo (CA)
Hiro Maeda,file:///investors/hironori-maeda,Managing Partner,$250K,"Investors in United States, Investors in San Francisco (CA), Investors in SF Bay Area (CA), Investors in South San Francisco (CA)
+1"
Dev Khare,file:///investors/dev-khare,Sweet spot:,$3.0M,"Investors in Bangalore, Investors in San Francisco (CA)"
Tom Lazay,file:///investors/tom-lazay,Managing Partner,$1M,Investors in Boston (MA)
Miles Lasater,file:///investors/miles-lasater_1,General Partner,$25K,Investors in United States
Karl Alomar,file:///investors/karl-alomar,Managing Partner,$3.0M,"Investors in Austin (TX), Investors in Boulder (CO), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in New York (NY)
+2"
Aaron Applbaum,file:///investors/aaron-applbaum,Managing Partner,$3.0M,Investors in Israel
Neeraj Gupta,file:///investors/neeraj-gupta,Managing Partner,$700K,Investors in San Francisco (CA)
Dr. Regina Hodits,file:///investors/dr-regina-hodits,Managing Partner,$200K,Investors in Munich (Germany)
Ernst Mannheimer,file:///investors/ernst-mannheimer,General Partner,$200K,Investors in London
Johan Brenner,file:///investors/johan-brenner,General Partner,$200K,"Investors in Consumer products, Investors in Hardware, Investors in SaaS"
Staffan Helgesson,file:///investors/staffan-helgesson,General Partner,$200K,"Investors in IoT, Investors in SaaS, Investors in Social mobile"
Dragan Gasic,file:///investors/dragan-gasic,Managing Director,$500K,"Investors in Advertising, Investors in AR/VR, Investors in Energy tech, Investors in Fintech, Investors in Food and beverage, Investors in Marketing automation, Investors in Payments, Investors in Real estate/proptech, Investors in SaaS, Investors in Security
+6"
Tomas Puig,file:///investors/tomas-puig,Managing Partner,$50K,Investors in San Francisco (CA)
Garrett Gilbertson,file:///investors/garrett-gilbertson,Managing Partner,$25K,"Investors in San Diego (CA), Investors in Los Angeles (CA), Investors in San Francisco (CA)"
Rob Eldridge,file:///investors/rob-eldridge,Managing Partner,$100K,"Investors in San Jose (CA), Investors in San Francisco (CA), Investors in Seattle / Portland"
Baris Aksoy,file:///investors/baris-aksoy,General Partner,$2.0M,"Investors in Denver (CO), Investors in Pittsburgh (PA), Investors in Ohio, Investors in Colorado, Investors in Canada, Investors in Toronto (Ontario), Investors in Austin (TX), Investors in Seattle (WA), Investors in Portland (OR), Investors in New York (NY), Investors in London, Investors in SF Bay Area (CA)
+8"
Quentin Nickmans,file:///investors/quentin-nickmans,Managing Partner,$400K,"Investors in Paris (France), Investors in San Francisco (CA)"
Jon Broscious,file:///investors/jon-broscious,Principal,$200K,"Investors in Seattle (WA), Investors in Boston (MA), Investors in Chicago (IL), Investors in Atlanta (GA), Investors in Washington (DC), Investors in Detroit (MI), Investors in San Francisco (CA), Investors in Austin (TX), Investors in New York (NY), Investors in Los Angeles (CA)
+6"
Ellie Wheeler,file:///investors/ellie-wheeler,Partner,$3.5M,"Investors in Europe, Investors in United States"
Andrew Christensen,file:///investors/andrew-christensen,Investor,$2.0M,"Investors in Boston / New England, Investors in Houston (TX), Investors in Salt Lake City (UT), Investors in Santa Barbara (CA), Investors in Los Angeles (CA), Investors in Minneapolis (MN), Investors in Chicago (IL), Investors in Detroit (MI), Investors in Atlanta (GA), Investors in New York (NY), Investors in Philadelphia (PA), Investors in Phoenix (AZ), Investors in Dallas (TX), Investors in Seattle (WA)
+11"
Brandon Maier,file:///investors/brandon-maier,Partner,$150K,"Investors in Austin (TX), Investors in New York (NY), Investors in Los Angeles (CA)"
Clint Korver,file:///investors/clint-korver,Partner,$750K,Investors in Palo Alto (CA)
Brett Munster,file:///investors/brett-munster,Principal,$2.0M,"Investors in Los Angeles / Southern California, Investors in SF Bay Area (CA)"
Eric Chen,file:///investors/eric-chen,Partner,$250K,"Investors in Los Altos (CA), Investors in San Francisco (CA), Investors in Palo Alto (CA), Investors in San Jose (CA), Investors in Berkeley (CA), Investors in Oakland (CA), Investors in San Mateo (CA), Investors in Redwood City (CA), Investors in New York (NY), Investors in Los Angeles (CA)
+7"
Lance Dietz,file:///investors/lance-dietz,Principal,$1.3M,"Investors in AI, Investors in Consumer health & fitness, Investors in Enterprise, Investors in Entertainment & sports, Investors in Games, Investors in Gaming/eSports, Investors in IoT, Investors in Media/content, Investors in Midwest (Other Lists), Investors in SaaS, Investors in Social mobile
+8"
